小节,拍,位置,节点,频率(Hz),持续时间,力度,装饰音,演奏技法,环,元素,极性,音区
0,0,0,金中(inner环,0区),55.51,1.00,80,否,normal,inner,金,中,0
0,0,1,火中(inner环,0区),84.14,1.00,70,否,normal,inner,火,中,0
0,0,2,火中(inner环,1区),168.28,1.00,75,否,normal,inner,火,中,1
0,0,3,火中(middle环,1区),168.28,1.00,70,否,normal,middle,火,中,1
0,0,4,火中(middle环,0区),84.14,1.00,75,否,normal,middle,火,中,0
0,0,5,火阴(outer环,0区),83.36,1.00,60,否,normal,outer,火,阴,0
0,1,6,火中(middle环,0区),84.14,1.00,80,否,normal,middle,火,中,0
0,1,7,火中(middle环,1区),168.28,1.00,70,否,normal,middle,火,中,1
0,1,8,火中(inner环,1区),168.28,1.00,75,否,normal,inner,火,中,1
0,1,9,火中(inner环,0区),84.14,1.00,70,否,normal,inner,火,中,0
0,1,10,火中(middle环,0区),84.14,1.00,75,否,normal,middle,火,中,0
0,1,11,火中(middle环,1区),168.28,1.00,70,否,normal,middle,火,中,1
0,2,12,火中(middle环,0区),84.14,1.00,80,否,normal,middle,火,中,0
0,2,13,火阴(outer环,0区),83.36,1.00,60,否,normal,outer,火,阴,0
0,2,14,火中(middle环,0区),84.14,1.00,75,否,normal,middle,火,中,0
0,2,15,火中(middle环,1区),168.28,1.00,70,否,normal,middle,火,中,1
0,2,16,火阴(outer环,1区),166.73,1.00,65,否,normal,outer,火,阴,1
0,2,17,火中(middle环,1区),168.28,1.00,70,否,normal,middle,火,中,1
0,3,18,火中(middle环,0区),84.14,1.00,80,否,normal,middle,火,中,0
0,3,19,火中(middle环,1区),168.28,1.00,70,否,normal,middle,火,中,1
0,3,20,火阴(outer环,1区),166.73,1.00,65,否,normal,outer,火,阴,1
0,3,21,火中(middle环,1区),168.28,1.00,70,否,normal,middle,火,中,1
0,3,22,火中(inner环,1区),168.28,1.00,75,否,normal,inner,火,中,1
0,3,23,火中(inner环,0区),84.14,1.00,70,否,normal,inner,火,中,0
0,4,24,火中(inner环,1区),168.28,1.00,80,否,normal,inner,火,中,1
0,4,25,火中(inner环,0区),84.14,1.00,70,否,normal,inner,火,中,0
0,4,26,木中(inner环,0区),63.77,1.00,75,否,normal,inner,木,中,0
0,4,27,土中(inner环,0区),96.65,1.00,70,否,normal,inner,土,中,0
0,4,28,土中(middle环,0区),96.65,1.00,75,否,normal,middle,土,中,0
0,4,29,土中(inner环,0区),96.65,1.00,70,否,normal,inner,土,中,0
